cost_id,order_id,company_id,cost_category,cost_amount,linked_status,recorded_at
COST00042,SO0016,CO002,labor,254.88,linked,2026-01-27T05:45
COST00043,SO0016,CO002,parts,311.52,linked,2026-01-27T11:45
COST00044,SO0016,CO002,logistics,141.6,linked,2026-01-27T19:45
COST00045,,CO002,unlinked_purchase,127.0,unlinked,2026-01-27T01:45
COST00046,SO0017,CO003,labor,107.64,linked,2026-01-29T14:15
COST00047,SO0017,CO003,parts,131.56,linked,2026-01-29T20:15
COST00048,SO0017,CO003,logistics,59.8,linked,2026-01-30T04:15
COST00049,SO0018,CO004,labor,134.14,linked,2026-01-25T07:45
COST00050,SO0018,CO004,parts,163.94,linked,2026-01-25T13:45
COST00051,SO0018,CO004,logistics,74.52,linked,2026-01-25T21:45
COST00052,SO0019,CO005,labor,173.88,linked,2026-01-27T13:15
COST00053,SO0019,CO005,parts,212.52,linked,2026-01-27T19:15
COST00054,SO0019,CO005,logistics,96.6,linked,2026-01-28T03:15
COST00055,SO0020,CO001,labor,210.82,linked,2026-01-28T18:45
COST00056,SO0020,CO001,parts,257.66,linked,2026-01-29T00:45
COST00057,SO0020,CO001,logistics,117.12,linked,2026-01-29T08:45
COST00058,SO0021,CO001,labor,136.19,linked,2026-01-30T15:15
COST00059,SO0021,CO001,parts,166.45,linked,2026-01-30T21:15
COST00060,SO0021,CO001,logistics,75.66,linked,2026-01-31T05:15
COST00061,SO0022,CO001,labor,102.67,linked,2026-02-01T19:45
COST00062,SO0022,CO001,parts,125.49,linked,2026-02-02T01:45
COST00063,SO0022,CO001,logistics,57.04,linked,2026-02-02T09:45
COST00064,SO0023,CO002,labor,197.06,linked,2026-02-03T23:15
COST00065,SO0023,CO002,parts,240.86,linked,2026-02-04T05:15
COST00066,SO0023,CO002,logistics,109.48,linked,2026-02-04T13:15
COST00067,SO0024,CO004,labor,224.64,linked,2026-01-30T11:45
COST00068,SO0024,CO004,parts,274.56,linked,2026-01-30T17:45
COST00069,SO0024,CO004,logistics,124.8,linked,2026-01-31T01:45
COST00070,SO0024,CO004,external_service,83.2,linked,2026-01-31T05:45
COST00071,,CO004,unlinked_purchase,163.0,unlinked,2026-01-30T19:45
COST00072,SO0025,CO005,labor,84.46,linked,2026-02-01T22:15
COST00073,SO0025,CO005,parts,103.22,linked,2026-02-02T04:15
COST00074,SO0025,CO005,logistics,46.92,linked,2026-02-02T12:15
COST00075,SO0027,CO001,labor,80.32,linked,2026-02-05T22:15
COST00076,SO0027,CO001,parts,98.16,linked,2026-02-06T04:15
COST00077,SO0027,CO001,logistics,44.62,linked,2026-02-06T12:15
COST00078,SO0028,CO001,labor,182.52,linked,2026-02-08T02:45
COST00079,SO0028,CO001,parts,223.08,linked,2026-02-08T08:45
COST00080,SO0028,CO001,logistics,101.4,linked,2026-02-08T16:45
COST00081,SO0029,CO002,labor,107.64,linked,2026-02-10T06:15
COST00082,SO0029,CO002,parts,131.56,linked,2026-02-10T12:15
COST00083,SO0029,CO002,logistics,59.8,linked,2026-02-10T20:15
COST00084,SO0031,CO004,labor,173.88,linked,2026-02-08T04:15
COST00085,SO0031,CO004,parts,212.52,linked,2026-02-08T10:15
COST00086,SO0031,CO004,logistics,96.6,linked,2026-02-08T18:15
COST00087,SO0032,CO005,labor,239.76,linked,2026-02-09T19:45
COST00088,SO0032,CO005,parts,293.04,linked,2026-02-10T01:45
COST00089,SO0032,CO005,logistics,133.2,linked,2026-02-10T09:45
COST00090,,CO005,unlinked_purchase,199.0,unlinked,2026-02-09T19:45
COST00091,SO0033,CO006,labor,95.22,linked,2026-02-12T04:15
COST00092,SO0033,CO006,parts,116.38,linked,2026-02-12T10:15
COST00093,SO0033,CO006,logistics,52.9,linked,2026-02-12T18:15
COST00094,SO0034,CO001,labor,102.67,linked,2026-02-14T08:45
COST00095,SO0034,CO001,parts,125.49,linked,2026-02-14T14:45
COST00096,SO0034,CO001,logistics,57.04,linked,2026-02-14T22:45
COST00097,SO0035,CO001,labor,186.73,linked,2026-02-16T12:15
COST00098,SO0035,CO001,parts,228.23,linked,2026-02-16T18:15
COST00099,SO0035,CO001,logistics,103.74,linked,2026-02-17T02:15
COST00100,SO0036,CO002,labor,220.32,linked,2026-02-12T05:45
COST00101,SO0036,CO002,parts,269.28,linked,2026-02-12T11:45
COST00102,SO0036,CO002,logistics,122.4,linked,2026-02-12T19:45
COST00103,SO0036,CO002,external_service,81.6,linked,2026-02-12T23:45
COST00104,SO0037,CO003,labor,84.46,linked,2026-02-14T11:15
COST00105,SO0037,CO003,parts,103.22,linked,2026-02-14T17:15
COST00106,SO0037,CO003,logistics,46.92,linked,2026-02-15T01:15
COST00107,SO0038,CO004,labor,145.73,linked,2026-02-16T13:45
COST00108,SO0038,CO004,parts,178.11,linked,2026-02-16T19:45
COST00109,SO0038,CO004,logistics,80.96,linked,2026-02-17T03:45
COST00110,SO0040,CO001,labor,235.01,linked,2026-02-19T10:45
COST00111,SO0040,CO001,parts,287.23,linked,2026-02-19T16:45
COST00112,SO0040,CO001,logistics,130.56,linked,2026-02-20T00:45
COST00113,,CO001,unlinked_purchase,235.0,unlinked,2026-02-19T22:45
COST00114,SO0041,CO001,labor,107.64,linked,2026-02-21T13:15
COST00115,SO0041,CO001,parts,131.56,linked,2026-02-21T19:15
COST00116,SO0041,CO001,logistics,59.8,linked,2026-02-22T03:15
COST00117,SO0042,CO001,labor,117.94,linked,2026-02-17T17:45
COST00118,SO0042,CO001,parts,144.14,linked,2026-02-17T23:45
COST00119,SO0042,CO001,logistics,65.52,linked,2026-02-18T07:45
COST00120,SO0043,CO002,labor,173.88,linked,2026-02-19T21:15
COST00121,SO0043,CO002,parts,212.52,linked,2026-02-20T03:15
COST00122,SO0043,CO002,logistics,96.6,linked,2026-02-20T11:15
COST00123,SO0044,CO004,labor,231.12,linked,2026-02-21T17:45
COST00124,SO0044,CO004,parts,282.48,linked,2026-02-21T23:45
COST00125,SO0044,CO004,logistics,128.4,linked,2026-02-22T07:45
COST00126,SO0046,CO006,labor,162.29,linked,2026-02-26T01:45
COST00127,SO0046,CO006,parts,198.35,linked,2026-02-26T07:45
COST00128,SO0046,CO006,logistics,90.16,linked,2026-02-26T15:45
COST00129,SO0047,CO001,labor,109.3,linked,2026-02-28T04:15
COST00130,SO0047,CO001,parts,133.58,linked,2026-02-28T10:15
COST00131,SO0047,CO001,logistics,60.72,linked,2026-02-28T18:15
COST00132,SO0048,CO001,labor,95.04,linked,2026-02-24T00:45
COST00133,SO0048,CO001,parts,116.16,linked,2026-02-24T06:45
COST00134,SO0048,CO001,logistics,52.8,linked,2026-02-24T14:45
COST00135,SO0048,CO001,external_service,35.2,linked,2026-02-24T18:45
COST00136,,CO001,unlinked_purchase,271.0,unlinked,2026-02-24T04:45
COST00137,SO0049,CO002,labor,139.0,linked,2026-02-26T04:15
COST00138,SO0049,CO002,parts,169.88,linked,2026-02-26T10:15
COST00139,SO0049,CO002,logistics,77.22,linked,2026-02-26T18:15
COST00140,SO0050,CO003,labor,304.13,linked,2026-02-27T17:45
COST00141,SO0050,CO003,parts,371.71,linked,2026-02-27T23:45
COST00142,SO0050,CO003,logistics,168.96,linked,2026-02-28T07:45
COST00143,SO0051,CO004,labor,185.47,linked,2026-03-02T02:15
COST00144,SO0051,CO004,parts,226.69,linked,2026-03-02T08:15
COST00145,SO0051,CO004,logistics,103.04,linked,2026-03-02T16:15
COST00146,SO0053,CO001,labor,107.64,linked,2026-03-06T10:15
COST00147,SO0053,CO001,parts,131.56,linked,2026-03-06T16:15
COST00148,SO0053,CO001,logistics,59.8,linked,2026-03-07T00:15
COST00149,SO0054,CO001,labor,69.55,linked,2026-03-02T05:45
COST00150,SO0054,CO001,parts,85.01,linked,2026-03-02T11:45
COST00151,SO0054,CO001,logistics,38.64,linked,2026-03-02T19:45
COST00152,SO0055,CO001,labor,88.6,linked,2026-03-04T20:15
COST00153,SO0055,CO001,parts,108.28,linked,2026-03-05T02:15
COST00154,SO0055,CO001,logistics,49.22,linked,2026-03-05T10:15
COST00155,SO0056,CO002,labor,300.46,linked,2026-03-06T03:45
COST00156,SO0056,CO002,parts,367.22,linked,2026-03-06T09:45
COST00157,SO0056,CO002,logistics,166.92,linked,2026-03-06T17:45
COST00158,,CO002,unlinked_purchase,307.0,unlinked,2026-03-05T23:45
COST00159,SO0057,CO003,labor,96.05,linked,2026-03-08T09:15
COST00160,SO0057,CO003,parts,117.39,linked,2026-03-08T15:15
COST00161,SO0057,CO003,logistics,53.36,linked,2026-03-08T23:15
COST00162,SO0058,CO005,labor,162.29,linked,2026-03-10T11:45
COST00163,SO0058,CO005,parts,198.35,linked,2026-03-10T17:45
COST00164,SO0058,CO005,logistics,90.16,linked,2026-03-11T01:45
COST00165,SO0059,CO006,labor,197.06,linked,2026-03-12T17:15
COST00166,SO0059,CO006,parts,240.86,linked,2026-03-12T23:15
COST00167,SO0059,CO006,logistics,109.48,linked,2026-03-13T07:15
COST00168,SO0061,CO001,labor,84.46,linked,2026-03-09T19:15
COST00169,SO0061,CO001,parts,103.22,linked,2026-03-10T01:15
COST00170,SO0061,CO001,logistics,46.92,linked,2026-03-10T09:15
COST00171,SO0062,CO001,labor,91.08,linked,2026-03-11T23:45
COST00172,SO0062,CO001,parts,111.32,linked,2026-03-12T05:45
COST00173,SO0062,CO001,logistics,50.6,linked,2026-03-12T13:45
COST00174,SO0063,CO003,labor,321.52,linked,2026-03-13T18:15
COST00175,SO0063,CO003,parts,392.96,linked,2026-03-14T00:15
COST00176,SO0063,CO003,logistics,178.62,linked,2026-03-14T08:15
COST00177,SO0064,CO004,labor,254.88,linked,2026-03-15T15:45
COST00178,SO0064,CO004,parts,311.52,linked,2026-03-15T21:45
COST00179,SO0064,CO004,logistics,141.6,linked,2026-03-16T05:45
COST00180,,CO004,unlinked_purchase,343.0,unlinked,2026-03-15T23:45
COST00181,SO0066,CO006,labor,134.14,linked,2026-03-13T17:45
COST00182,SO0066,CO006,parts,163.94,linked,2026-03-13T23:45
COST00183,SO0066,CO006,logistics,74.52,linked,2026-03-14T07:45
COST00184,SO0067,CO001,labor,86.11,linked,2026-03-16T02:15
COST00185,SO0067,CO001,parts,105.25,linked,2026-03-16T08:15
COST00186,SO0067,CO001,logistics,47.84,linked,2026-03-16T16:15
COST00187,SO0068,CO001,labor,131.76,linked,2026-03-18T06:45
COST00188,SO0068,CO001,parts,161.04,linked,2026-03-18T12:45
COST00189,SO0068,CO001,logistics,73.2,linked,2026-03-18T20:45
COST00190,SO0069,CO002,labor,96.05,linked,2026-03-20T10:15
COST00191,SO0069,CO002,parts,117.39,linked,2026-03-20T16:15
COST00192,SO0069,CO002,logistics,53.36,linked,2026-03-21T00:15
COST00193,SO0070,CO003,labor,338.69,linked,2026-03-21T23:45
COST00194,SO0070,CO003,parts,413.95,linked,2026-03-22T05:45
COST00195,SO0070,CO003,logistics,188.16,linked,2026-03-22T13:45
COST00196,SO0071,CO004,labor,197.06,linked,2026-03-24T08:15
COST00197,SO0071,CO004,parts,240.86,linked,2026-03-24T14:15
COST00198,SO0071,CO004,logistics,109.48,linked,2026-03-24T22:15
COST00199,SO0072,CO006,labor,220.32,linked,2026-03-19T17:45
COST00200,SO0072,CO006,parts,269.28,linked,2026-03-19T23:45
COST00201,SO0072,CO006,logistics,122.4,linked,2026-03-20T07:45
COST00202,SO0072,CO006,external_service,81.6,linked,2026-03-20T11:45
COST00203,,CO006,unlinked_purchase,379.0,unlinked,2026-03-19T17:45
