member_id,checkin_timestamp
M011,2026-01-21T06:15
M011,2026-01-25T14:15
M011,2026-01-26T13:45
M011,2026-01-30T09:45
M011,2026-02-03T17:45
M011,2026-02-04T16:15
M011,2026-02-07T13:45
M011,2026-02-10T10:15
M011,2026-02-19T13:45
M011,2026-02-26T06:15
M011,2026-03-02T14:15
M011,2026-03-04T12:15
M011,2026-03-25T15:45
M011,2026-03-28T12:15
M011,2026-04-02T07:45
M011,2026-04-05T16:15
M011,2026-04-08T13:45
M011,2026-04-09T12:15
M011,2026-04-10T11:45
M011,2026-04-11T10:15
M011,2026-04-12T09:45
M012,2026-01-26T13:45
M012,2026-01-27T12:15
M012,2026-01-28T11:45
M012,2026-01-29T10:15
M012,2026-01-31T08:15
M012,2026-02-09T11:45
M012,2026-02-16T16:15
M012,2026-02-17T15:45
M012,2026-02-21T11:45
M012,2026-02-23T09:45
M012,2026-03-06T10:15
M012,2026-03-12T16:15
M012,2026-03-22T06:15
M012,2026-03-24T16:15
M012,2026-03-27T13:45
M012,2026-03-30T10:15
M012,2026-04-01T08:15
M012,2026-04-03T06:15
M012,2026-04-10T11:45
M012,2026-04-12T09:45
M012,2026-04-14T07:45
M013,2026-02-20T12:15
M013,2026-02-27T17:45
M013,2026-03-10T06:15
M013,2026-03-13T15:45
M013,2026-03-16T12:15
M013,2026-03-25T15:45
M013,2026-04-04T17:45
M013,2026-04-05T16:15
M013,2026-04-10T11:45
M014,2026-01-21T06:15
M014,2026-02-03T17:45
M014,2026-02-10T10:15
M014,2026-02-15T17:45
M014,2026-02-20T12:15
M014,2026-03-08T08:15
M014,2026-03-09T07:45
M014,2026-03-11T17:45
M014,2026-03-15T13:45
M014,2026-03-17T11:45
M014,2026-03-27T13:45
M014,2026-04-04T17:45
M014,2026-04-11T10:15
M015,2026-02-02T06:15
M015,2026-02-07T13:45
M015,2026-02-09T11:45
M015,2026-02-22T10:15
M015,2026-03-04T12:15
M015,2026-03-07T09:45
M015,2026-03-13T15:45
M015,2026-03-14T14:15
M015,2026-03-16T12:15
M015,2026-03-17T11:45
M015,2026-03-27T13:45
M015,2026-04-05T16:15
M015,2026-04-09T12:15
M016,2026-02-15T17:45
M016,2026-03-11T17:45
M016,2026-03-12T16:15
M016,2026-03-19T09:45
M017,2026-01-18T09:45
M017,2026-02-04T16:15
M017,2026-02-07T13:45
M017,2026-02-19T13:45
M017,2026-02-20T12:15
M017,2026-02-21T11:45
M017,2026-03-14T14:15
M017,2026-03-16T12:15
M017,2026-03-20T08:15
M018,2025-12-22T12:15
M018,2025-12-30T16:15
M018,2026-01-04T11:45
M018,2026-01-12T15:45
M018,2026-01-30T09:45
M018,2026-02-02T06:15
M019,2026-01-13T14:15
M019,2026-01-17T10:15
M019,2026-01-19T08:15
M019,2026-01-21T06:15
M019,2026-01-24T15:45
M019,2026-03-28T12:15
M019,2026-04-04T17:45
M019,2026-04-11T10:15
M021,2026-01-17T10:15
M021,2026-01-24T15:45
M021,2026-01-25T14:15
M021,2026-01-26T13:45
M021,2026-01-28T11:45
M021,2026-02-04T16:15
M021,2026-02-05T15:45
M021,2026-02-21T11:45
M021,2026-02-23T09:45
M021,2026-02-26T06:15
M021,2026-02-28T16:15
M021,2026-03-13T15:45
M021,2026-03-19T09:45
M021,2026-03-22T06:15
M021,2026-03-23T17:45
M021,2026-03-26T14:15
M021,2026-04-01T08:15
M021,2026-04-10T11:45
M021,2026-04-12T09:45
M021,2026-04-13T08:15
M021,2026-04-14T07:45
M022,2026-01-13T14:15
M022,2026-01-17T10:15
M022,2026-01-28T11:45
M022,2026-02-03T17:45
M022,2026-02-07T13:45
M022,2026-02-11T09:45
M022,2026-02-13T07:45
M022,2026-02-17T15:45
M022,2026-02-23T09:45
M022,2026-02-25T07:45
M022,2026-03-01T15:45
M022,2026-03-18T10:15
M022,2026-03-19T09:45
M022,2026-03-20T08:15
M022,2026-03-22T06:15
M022,2026-03-26T14:15
M022,2026-04-07T14:15
M022,2026-04-09T12:15
M022,2026-04-11T10:15
M022,2026-04-12T09:45
M022,2026-04-13T08:15
M023,2026-01-20T07:45
M023,2026-02-01T07:45
M023,2026-02-03T17:45
M023,2026-02-04T16:15
M023,2026-02-05T15:45
M023,2026-02-06T14:15
M023,2026-02-14T06:15
M023,2026-03-03T13:45
M023,2026-03-16T12:15
M023,2026-03-21T07:45
M023,2026-04-02T07:45
M023,2026-04-03T06:15
M023,2026-04-13T08:15
M024,2026-01-19T08:15
M024,2026-01-21T06:15
M024,2026-01-28T11:45
M024,2026-01-29T10:15
M024,2026-02-01T07:45
M024,2026-02-04T16:15
M024,2026-02-15T17:45
M024,2026-02-26T06:15
M024,2026-03-17T11:45
M024,2026-03-20T08:15
M024,2026-04-02T07:45
M024,2026-04-05T16:15
M024,2026-04-11T10:15
M025,2026-01-18T09:45
M025,2026-01-20T07:45
M025,2026-01-31T08:15
M025,2026-02-07T13:45
M025,2026-02-11T09:45
M025,2026-02-14T06:15
M025,2026-02-19T13:45
M025,2026-02-25T07:45
M025,2026-03-15T13:45
M025,2026-03-19T09:45
M025,2026-03-24T16:15
M025,2026-04-04T17:45
M025,2026-04-12T09:45
M026,2026-01-20T07:45
M026,2026-01-29T10:15
M026,2026-02-11T09:45
M026,2026-02-15T17:45
M026,2026-02-16T16:15
M026,2026-02-18T14:15
M026,2026-02-27T17:45
M026,2026-03-06T10:15
M026,2026-03-13T15:45
M027,2026-01-15T12:15
M027,2026-01-18T09:45
M027,2026-01-20T07:45
M027,2026-02-08T12:15
M027,2026-03-05T11:45
M027,2026-03-14T14:15
M027,2026-03-16T12:15
M027,2026-03-20T08:15
M027,2026-03-21T07:45
M028,2025-12-15T07:45
M028,2025-12-19T15:45
M028,2025-12-31T15:45
M028,2026-01-08T07:45
M028,2026-01-12T15:45
M028,2026-01-28T11:45
M029,2026-01-04T11:45
M029,2026-01-20T07:45
M029,2026-01-21T06:15
M029,2026-01-25T14:15
M029,2026-01-28T11:45
M029,2026-03-28T12:15
M029,2026-04-04T17:45
M029,2026-04-11T10:15
M031,2026-01-30T09:45
M031,2026-01-31T08:15
M031,2026-02-11T09:45
M031,2026-02-20T12:15
M031,2026-03-01T15:45
M031,2026-03-06T10:15
M031,2026-03-07T09:45
M031,2026-03-09T07:45
M031,2026-03-10T06:15
M031,2026-03-11T17:45
M031,2026-03-15T13:45
M031,2026-03-16T12:15
M031,2026-03-19T09:45
M031,2026-03-20T08:15
M031,2026-03-21T07:45
M031,2026-03-22T06:15
M031,2026-03-23T17:45
M031,2026-03-24T16:15
M031,2026-03-31T09:45
M031,2026-04-04T17:45
M031,2026-04-09T12:15
M032,2026-01-10T17:45
M032,2026-02-02T06:15
M032,2026-02-13T07:45
M032,2026-02-15T17:45
M032,2026-02-24T08:15
M032,2026-03-02T14:15
M032,2026-03-10T06:15
M032,2026-03-11T17:45
M032,2026-03-12T16:15
M032,2026-03-13T15:45
M032,2026-03-15T13:45
M032,2026-03-16T12:15
M032,2026-03-23T17:45
M032,2026-03-26T14:15
M032,2026-03-27T13:45
M032,2026-03-30T10:15
M032,2026-04-04T17:45
M032,2026-04-05T16:15
M032,2026-04-07T14:15
M032,2026-04-09T12:15
M032,2026-04-11T10:15
M033,2026-01-18T09:45
M033,2026-01-24T15:45
M033,2026-01-26T13:45
M033,2026-01-27T12:15
M033,2026-01-30T09:45
M033,2026-02-12T08:15
M033,2026-02-16T16:15
M033,2026-03-01T15:45
M033,2026-03-16T12:15
M033,2026-03-18T10:15
M033,2026-03-26T14:15
M033,2026-03-27T13:45
M033,2026-03-30T10:15
M034,2026-02-19T13:45
M034,2026-02-21T11:45
M034,2026-02-27T17:45
M034,2026-03-09T07:45
M034,2026-03-24T16:15
M034,2026-04-01T08:15
M034,2026-04-02T07:45
M034,2026-04-07T14:15
M034,2026-04-09T12:15
M035,2026-01-21T06:15
M035,2026-01-26T13:45
M035,2026-01-27T12:15
M035,2026-02-05T15:45
M035,2026-02-22T10:15
M035,2026-02-27T17:45
M035,2026-03-03T13:45
M035,2026-03-09T07:45
M035,2026-03-15T13:45
M035,2026-03-25T15:45
M035,2026-04-01T08:15
M035,2026-04-04T17:45
M035,2026-04-05T16:15
M036,2026-01-17T10:15
M036,2026-01-19T08:15
M036,2026-01-26T13:45
M036,2026-02-04T16:15
M036,2026-02-07T13:45
M036,2026-02-19T13:45
M036,2026-03-07T09:45
M036,2026-03-09T07:45
M036,2026-03-11T17:45
M037,2026-01-28T11:45
M037,2026-01-29T10:15
M037,2026-01-30T09:45
M037,2026-02-11T09:45
M037,2026-02-12T08:15
M037,2026-02-14T06:15
M037,2026-02-20T12:15
M037,2026-02-26T06:15
M037,2026-02-27T17:45
M038,2026-01-22T17:45
M038,2026-01-24T15:45
M038,2026-02-03T17:45
M039,2025-12-27T07:45
M039,2026-01-01T14:15
M039,2026-01-07T08:15
M039,2026-01-10T17:45
M039,2026-01-13T14:15
M039,2026-03-28T12:15
M039,2026-04-04T17:45
M039,2026-04-11T10:15
M041,2026-01-20T07:45
M041,2026-01-21T06:15
M041,2026-01-24T15:45
M041,2026-01-30T09:45
M041,2026-01-31T08:15
M041,2026-02-03T17:45
M041,2026-02-05T15:45
M041,2026-02-15T17:45
M041,2026-02-21T11:45
M041,2026-02-25T07:45
M041,2026-03-11T17:45
M041,2026-03-18T10:15
M041,2026-03-21T07:45
M041,2026-03-24T16:15
M041,2026-03-25T15:45
M041,2026-03-27T13:45
M041,2026-03-28T12:15
M041,2026-03-29T11:45
M041,2026-04-04T17:45
M041,2026-04-08T13:45
M041,2026-04-13T08:15
M042,2026-01-13T14:15
M042,2026-01-29T10:15
M042,2026-01-31T08:15
M042,2026-02-03T17:45
M042,2026-02-18T14:15
M042,2026-02-26T06:15
M042,2026-02-27T17:45
M042,2026-03-02T14:15
M042,2026-03-03T13:45
M042,2026-03-06T10:15
M042,2026-03-12T16:15
M042,2026-03-14T14:15
M042,2026-03-19T09:45
M042,2026-03-22T06:15
M042,2026-03-25T15:45
M042,2026-04-02T07:45
M042,2026-04-03T06:15
M042,2026-04-09T12:15
M042,2026-04-10T11:45
M042,2026-04-11T10:15
M042,2026-04-12T09:45
M043,2026-01-22T17:45
M043,2026-01-27T12:15
M043,2026-01-30T09:45
M043,2026-02-01T07:45
M043,2026-02-03T17:45
M043,2026-02-08T12:15
M043,2026-02-15T17:45
M043,2026-03-02T14:15
M043,2026-03-30T10:15
M043,2026-03-31T09:45
M043,2026-04-03T06:15
M043,2026-04-08T13:45
M043,2026-04-13T08:15
M044,2026-01-18T09:45
M044,2026-01-26T13:45
M044,2026-02-01T07:45
M044,2026-02-05T15:45
M044,2026-02-07T13:45
M044,2026-02-09T11:45
M044,2026-02-10T10:15
M044,2026-02-23T09:45
M044,2026-03-21T07:45
M044,2026-03-27T13:45
M044,2026-03-28T12:15
M044,2026-03-30T10:15
M044,2026-04-02T07:45
M045,2026-01-24T15:45
M045,2026-01-26T13:45
M045,2026-02-09T11:45
M045,2026-02-12T08:15
M045,2026-02-13T07:45
M045,2026-02-17T15:45
M045,2026-02-20T12:15
M045,2026-03-01T15:45
M045,2026-03-15T13:45
M045,2026-03-23T17:45
M045,2026-03-26T14:15
M045,2026-04-10T11:45
M045,2026-04-11T10:15
M046,2026-01-14T13:45
M046,2026-01-15T12:15
M046,2026-01-22T17:45
M046,2026-01-26T13:45
M046,2026-01-31T08:15
M046,2026-02-22T10:15
M046,2026-03-02T14:15
M046,2026-03-18T10:15
M046,2026-03-21T07:45
M047,2026-01-19T08:15
M047,2026-01-31T08:15
M047,2026-02-21T11:45
M047,2026-02-25T07:45
M047,2026-02-28T16:15
M047,2026-03-05T11:45
M047,2026-03-07T09:45
M047,2026-03-16T12:15
M047,2026-03-21T07:45
M048,2025-12-15T07:45
M048,2025-12-19T15:45
M048,2025-12-28T06:15
M048,2026-01-17T10:15
M048,2026-02-01T07:45
M048,2026-02-19T13:45
M049,2026-01-27T12:15
M049,2026-03-28T12:15
M049,2026-04-04T17:45
M049,2026-04-11T10:15
